name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Government,2008,171.0,A,93,796.0,0.5,7537.0,142537,True,54.1,4.0,22.86,263,561.2,False,False,False,True,False,False,46.9,JEE Advanced,400,18,Low (<1L),North,1,4
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Government,2015,,A,44,1127.0,0.3,12104.0,108193,True,53.0,6.64,23.89,424,2249.3,True,False,True,True,True,False,14.9,JEE Advanced,300,11,Low (<1L),South,4,4
Indian Institute of Technology Palakkad,Palakkad,Kerala,Government,2015,153.0,A++,172,436.0,0.6,13341.0,55144,True,52.6,7.7,37.5,338,1018.2,False,True,False,False,True,True,58.7,JEE Advanced,280,11,Low (<1L),South,3,6
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Government,2016,261.0,A++,77,174.0,1.5,20392.0,118184,False,49.3,7.03,21.2,516,1530.1,True,True,True,True,True,True,54.3,JEE Advanced,260,10,Low (<1L),Central,6,6
Indian Institute of Technology Goa,Goa,Goa,Government,2016,215.0,A++,124,1113.0,0.2,41629.0,108047,True,49.5,6.78,27.45,591,1117.6,False,False,True,True,True,True,12.8,JEE Advanced,240,10,Low (<1L),West,4,6
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Government,2016,297.0,A++,153,757.0,0.3,30102.0,120957,False,44.6,4.07,16.08,507,1042.4,True,True,True,True,True,True,16.1,JEE Advanced,250,10,Low (<1L),North,6,6
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Government,2016,,A++,36,135.0,1.7,44843.0,111560,False,56.0,7.53,34.42,468,343.6,True,False,True,True,True,False,33.4,JEE Advanced,230,10,Low (<1L),South,4,6
National Institute of Technology Trichy,Tiruchirappalli,Tamil Nadu,Government,1964,89.0,A++,76,392.0,2.8,20276.0,128858,True,65.7,7.47,40.62,159,1186.5,True,True,True,False,False,True,9.8,JEE Main,1100,62,Low (<1L),South,4,6
National Institute of Technology Surathkal,Mangalore,Karnataka,Government,1960,,A+,190,697.0,1.3,92607.0,120520,False,84.1,7.43,36.71,153,1991.6,True,True,True,False,True,True,40.5,JEE Main,900,66,Low (<1L),South,5,5
National Institute of Technology Warangal,Warangal,Telangana,Government,1959,61.0,A+,97,629.0,1.4,85539.0,131533,True,76.1,9.36,47.35,281,2077.7,True,True,True,False,True,True,7.9,JEE Main,850,67,Low (<1L),South,5,5
National Institute of Technology Calicut,Kozhikode,Kerala,Government,1961,41.0,A+,191,572.0,1.4,40042.0,41221,True,70.6,9.06,40.25,517,1616.5,False,False,False,True,True,True,35.4,JEE Main,800,65,Low (<1L),South,3,5
National Institute of Technology Rourkela,Rourkela,Odisha,Government,1961,127.0,A+,64,459.0,2.1,30814.0,124540,True,69.4,6.2,27.13,251,1847.8,True,True,True,True,True,True,20.8,JEE Main,950,65,Low (<1L),East,6,5
National Institute of Technology Durgapur,Durgapur,West Bengal,Government,1960,247.0,A,79,185.0,4.3,42621.0,67268,True,54.1,5.2,16.36,519,289.6,False,True,True,True,False,True,6.4,JEE Main,800,66,Low (<1L),East,4,4
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,Government,1961,56.0,A+,160,705.0,1.1,74049.0,149079,True,75.2,13.6,81.13,91,1526.0,False,True,True,True,True,False,52.3,JEE Main,750,65,Low (<1L),North,4,5
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,Government,1960,135.0,A+,123,485.0,1.4,74510.0,39329,True,80.8,14.24,74.87,147,1363.7,True,True,True,True,False,True,46.0,JEE Main,700,66,Low (<1L),Central,5,5
Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,Government,1960,32.0,A+,38,132.0,6.1,93385.0,35224,False,85.5,12.35,56.97,264,2405.0,True,True,True,True,False,True,58.8,JEE Main,800,66,Low (<1L),West,5,5
National Institute of Technology Jamshedpur,Jamshedpur,Jharkhand,Government,1960,297.0,A,155,900.0,0.7,15539.0,73228,False,52.3,5.48,26.41,67,1139.8,True,True,True,True,False,False,23.4,JEE Main,650,66,Low (<1L),East,4,4
National Institute of Technology Silchar,Silchar,Assam,Government,1967,129.0,A,94,404.0,1.5,36766.0,45915,True,40.9,6.15,32.58,594,39.1,False,True,True,True,True,True,29.7,JEE Main,600,59,Low (<1L),Northeast,5,4
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,Government,1986,138.0,A,200,659.0,0.8,32193.0,74548,False,68.0,5.54,29.76,335,2094.5,False,True,True,True,True,True,41.4,JEE Main,500,40,Low (<1L),North,5,4
National Institute of Technology Srinagar,Srinagar,Jammu & Kashmir,Government,1960,,B++,47,155.0,3.5,30302.0,116991,False,63.8,6.26,18.98,544,2413.6,True,True,True,True,True,True,24.6,JEE Main,550,66,Low (<1L),North,6,3
National Institute of Technology Agartala,Agartala,Tripura,Government,1965,125.0,A,73,668.0,0.7,36978.0,144344,True,56.2,6.09,20.23,122,1087.8,True,False,True,True,True,True,8.7,JEE Main,450,61,Low (<1L),Northeast,5,4
National Institute of Technology Raipur,Raipur,Chhattisgarh,Government,1956,219.0,A,178,1024.0,0.5,45613.0,119539,True,47.2,7.56,22.69,290,1151.6,False,True,True,True,True,False,47.3,JEE Main,500,70,Low (<1L),Central,4,4
Indian Institute of Science,Bangalore,Karnataka,Government,1909,36.0,A++,85,890.0,0.4,62049.0,105341,True,71.8,11.99,30.9,38,1417.0,True,True,True,True,True,True,48.6,KVPY/JEE,400,117,Low (<1L),South,6,6
IISER Pune,Pune,Maharashtra,Government,2006,31.0,A++,150,829.0,0.2,245947.0,84460,False,87.5,15.04,65.99,543,2284.2,False,True,True,False,True,False,58.5,IAT,200,20,Medium (1-5L),West,3,6
IISER Kolkata,Kolkata,West Bengal,Government,2006,21.0,A+,42,840.0,0.2,169219.0,78311,True,94.4,27.46,124.83,269,1181.3,True,True,True,True,True,True,44.1,IAT,180,20,Medium (1-5L),East,6,5
IISER Mohali,Mohali,Punjab,Government,2007,14.0,A+,140,282.0,0.6,191608.0,84935,False,93.2,28.71,160.75,447,2347.9,True,True,True,False,True,True,21.0,IAT,170,19,Medium (1-5L),North,5,5
IISER Bhopal,Bhopal,Madhya Pradesh,Government,2008,39.0,A+,165,504.0,0.3,83010.0,133150,True,92.9,13.58,70.32,251,2033.6,False,False,True,True,False,False,17.8,IAT,160,18,Low (<1L),Central,2,5
IISER Thiruvananthapuram,Thiruvananthapuram,Kerala,Government,2008,29.0,A,31,312.0,0.5,54136.0,52838,True,88.7,14.92,59.28,517,1123.4,True,True,True,True,True,True,26.6,IAT,150,18,Low (<1L),South,6,4
BITS Pilani,Pilani,Rajasthan,Private,1964,8.0,A++,90,1166.0,1.0,1076750.0,111830,True,91.4,20.97,76.29,494,1266.3,True,False,True,True,True,True,31.3,BITSAT,1200,62,High (>5L),North,5,6
Vellore Institute of Technology,Vellore,Tamil Nadu,Private,1984,45.0,A++,157,346.0,14.5,289511.0,42219,True,66.7,9.96,37.89,91,1468.2,True,True,False,True,False,True,40.2,VITEEE,5000,42,Medium (1-5L),South,4,6
SRM Institute of Science and Technology,Chennai,Tamil Nadu,Private,1985,22.0,A++,170,133.0,33.8,1703974.0,59643,True,94.5,26.9,159.0,303,77.2,True,True,True,False,False,True,20.6,SRMJEEE,4500,41,High (>5L),South,4,6
Manipal Academy of Higher Education,Manipal,Karnataka,Private,1953,29.0,A++,187,596.0,1.5,391510.5,104395,True,90.7,27.67,84.24,113,683.9,False,True,True,True,True,True,47.0,MET,3000,73,Medium (1-5L),South,5,6
Amity University,Noida,Uttar Pradesh,Private,2005,136.0,A+,59,961.0,4.2,343901.0,130160,False,61.9,6.62,16.73,162,953.6,True,True,True,True,False,False,49.8,Amity JEE,4000,21,Medium (1-5L),North,4,5
Lovely Professional University,Phagwara,Punjab,Private,2005,69.0,A+,77,296.0,20.3,682446.0,139055,True,73.6,6.89,27.76,476,1474.2,False,True,True,False,True,False,37.6,LPUNEST,6000,21,High (>5L),North,3,5
Shiv Nadar University,Greater Noida,Uttar Pradesh,Private,2011,117.0,A,189,999.0,0.8,192875.0,131298,True,53.8,4.59,20.53,360,2161.3,True,True,True,True,True,True,44.7,SNUSAT,800,15,Medium (1-5L),North,6,4
Ashoka University,Sonipat,Haryana,Private,2014,115.0,A,130,164.0,3.0,365849.0,80394,True,48.9,4.99,26.3,222,807.2,True,True,True,True,True,True,34.3,Ashoka Aptitude,500,12,Medium (1-5L),North,6,4
OP Jindal Global University,Sonipat,Haryana,Private,2009,,A+,200,596.0,1.2,550905.0,38639,True,63.9,8.46,32.6,183,836.7,False,True,True,True,True,False,41.6,JSAT,700,17,High (>5L),North,4,5
Thapar Institute of Engineering,Patiala,Punjab,Private,1956,67.0,A+,102,518.0,2.9,643973.0,96648,True,64.8,6.9,21.6,527,484.1,True,False,False,False,False,False,70.0,JEE Main,1500,70,High (>5L),North,1,5
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,Private,1992,60.0,A++,171,989.0,3.5,658933.0,35726,False,66.1,9.41,31.35,321,1882.2,False,False,True,False,True,False,55.3,KIITEE,3500,34,High (>5L),East,2,6
Chandigarh University,Mohali,Punjab,Private,2012,95.0,A+,46,1136.0,3.5,254714.0,114040,False,68.0,6.97,40.22,321,214.3,True,True,False,False,True,False,12.9,CUCET,4000,14,Medium (1-5L),North,3,5
Chitkara University,Rajpura,Punjab,Private,2010,87.0,A+,88,158.0,12.7,303896.0,139992,False,74.3,6.68,20.11,513,1741.7,True,True,True,True,True,True,11.4,Chitkara UG,2000,16,Medium (1-5L),North,6,5
Bennett University,Greater Noida,Uttar Pradesh,Private,2016,192.0,A,76,802.0,1.0,370205.0,105372,False,42.3,3.15,12.61,456,472.3,True,False,False,False,False,False,47.4,Own Test,800,10,Medium (1-5L),North,1,4
Plaksha University,Mohali,Punjab,Private,2021,299.0,A++,49,760.0,0.3,135420.0,75193,True,42.2,5.46,15.63,75,884.0,True,True,True,False,True,True,25.0,Own Test,200,5,Medium (1-5L),North,5,6
Azim Premji University,Bangalore,Karnataka,Private,2010,212.0,A,84,759.0,0.5,200193.0,67501,False,45.7,6.01,33.24,157,1999.4,True,False,True,True,True,True,31.7,Own Test,400,16,Medium (1-5L),South,5,4
Symbiosis International University,Pune,Maharashtra,Deemed,2002,28.0,A++,129,799.0,3.1,344269.0,88447,False,87.1,13.97,68.65,73,1818.4,True,True,True,False,False,False,64.0,SET,2500,24,Medium (1-5L),West,3,6
RVCE Bangalore,Bangalore,Karnataka,Autonomous,1963,16.0,A++,161,237.0,7.6,417243.0,50111,True,84.9,17.39,66.12,170,1326.0,True,False,True,False,False,False,29.1,KCET,1800,63,Medium (1-5L),South,2,6
BMS College of Engineering,Bangalore,Karnataka,Autonomous,1946,67.0,A+,37,991.0,1.6,178765.0,56237,True,48.7,8.12,33.15,357,1671.3,True,True,True,False,True,False,50.2,KCET,1600,80,Medium (1-5L),South,4,5
PSG College of Technology,Coimbatore,Tamil Nadu,Autonomous,1951,,A++,149,1060.0,1.3,84018.0,110209,True,71.5,3.39,13.2,450,1924.1,False,True,True,True,False,True,58.0,TNEA,1400,75,Low (<1L),South,4,6
Dhirubhai Ambani Institute,Gandhinagar,Gujarat,Private,2001,132.0,A,87,1142.0,0.5,259448.0,51581,True,39.9,6.71,22.07,110,630.3,False,True,True,True,False,True,45.2,JEE Main,600,25,Medium (1-5L),West,4,4
FLAME University,Pune,Maharashtra,Private,2015,275.0,A,142,142.0,3.5,238755.0,115344,True,41.3,5.07,23.64,588,727.7,True,True,True,True,True,True,67.1,FLAME Entrance,500,11,Medium (1-5L),West,6,4
Birla Institute of Technology Mesra,Ranchi,Jharkhand,Deemed,1955,140.0,A+,130,627.0,1.6,344269.0,97499,True,65.7,5.57,23.02,283,356.5,True,True,True,True,True,True,5.4,BIT MCA,1000,71,Medium (1-5L),East,6,5
Jamia Millia Islamia,New Delhi,Delhi,Government,1920,123.0,A++,152,665.0,3.0,51877.0,94866,True,78.7,13.43,65.19,38,2118.7,True,False,True,True,True,True,31.3,JMI Entrance,2000,106,Low (<1L),North,5,6
Aligarh Muslim University,Aligarh,Uttar Pradesh,Government,1875,,A++,51,828.0,3.6,31864.0,42672,False,74.1,12.95,47.74,233,1508.1,False,False,True,False,False,False,29.3,AMU Entrance,3000,151,Low (<1L),North,1,6
Banaras Hindu University,Varanasi,Uttar Pradesh,Government,1916,77.0,A++,151,1123.0,4.5,95805.0,126904,True,84.4,10.94,46.78,531,1773.3,True,True,True,True,False,True,22.4,UET/PET,5000,110,Low (<1L),North,5,6
Jawaharlal Nehru University,New Delhi,Delhi,Government,1969,56.0,A++,63,305.0,8.2,34369.0,137696,True,80.7,5.32,30.96,49,1105.4,True,False,True,True,True,True,30.5,JNUEE,2500,57,Low (<1L),North,5,6
University of Delhi,New Delhi,Delhi,Government,1922,66.0,A++,86,584.0,13.7,99319.0,135336,True,80.9,11.1,35.22,335,566.0,False,False,True,True,False,False,68.2,CUET,8000,104,Low (<1L),North,2,6
University of Hyderabad,Hyderabad,Telangana,Government,1974,64.0,A++,182,985.0,1.5,34198.0,68070,True,66.0,14.55,40.4,292,1869.6,True,True,True,True,True,True,16.6,CUET,1500,52,Low (<1L),South,6,6
Jadavpur University,Kolkata,West Bengal,Government,1955,4.0,A++,181,1057.0,1.9,293557.0,50701,False,90.7,33.51,186.8,234,1891.0,True,False,True,False,True,True,21.5,WBJEE,2000,71,Medium (1-5L),East,4,6
Anna University,Chennai,Tamil Nadu,Government,1978,42.0,A++,91,98.0,40.8,295526.0,128173,True,71.30000000000001,33.3,185.43,139,2321.5,True,True,True,True,True,True,24.8,TNEA,4000,48,Medium (1-5L),South,6,6
Savitribai Phule Pune University,Pune,Maharashtra,Government,1949,,A++,37,751.0,4.7,95079.0,142216,True,79.7,9.05,36.17,440,1674.8,True,False,True,True,True,False,14.6,Own Entrance,3500,77,Low (<1L),West,4,6
Presidency University Kolkata,Kolkata,West Bengal,Government,1817,222.0,A,178,320.0,1.6,49962.0,95866,True,67.7,7.44,38.65,332,922.0,False,False,False,False,False,True,17.0,CUET,500,209,Low (<1L),East,1,4
University of Calcutta,Kolkata,West Bengal,Government,1857,129.0,A,66,1115.0,3.6,28709.0,40237,True,67.5,3.56,19.23,579,378.9,True,True,False,False,True,True,24.3,CUET,4000,169,Low (<1L),East,4,4
University of Mumbai,Mumbai,Maharashtra,Government,1857,,A++,123,172.0,29.1,66897.0,63352,False,83.8,12.46,56.37,382,1752.5,True,False,True,True,False,True,38.8,Own Entrance,5000,169,Low (<1L),West,4,6
Cochin University of Science and Technology,Kochi,Kerala,Government,1971,126.0,A+,115,1180.0,1.0,85687.0,47431,False,80.0,8.48,26.5,571,322.7,False,False,False,True,False,False,68.6,CUSAT CAT,1200,55,Low (<1L),South,1,5
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,Government,1956,116.0,A++,76,112.0,1.8,29790.0,34222,True,83.6,9.19,47.62,241,172.9,True,False,False,False,True,False,42.4,NEET UG,200,70,Low (<1L),North,2,6
Christian Medical College Vellore,Vellore,Tamil Nadu,Private,1900,,A++,51,698.0,0.2,534394.0,105690,True,71.1,9.38,33.98,563,556.5,True,True,True,True,True,True,22.4,NEET UG,150,126,High (>5L),South,6,6
Armed Forces Medical College,Pune,Maharashtra,Government,1948,112.0,A++,157,933.0,0.2,33920.0,135614,True,75.6,8.37,35.35,572,339.6,True,True,False,False,True,False,18.5,NEET UG,150,78,Low (<1L),West,3,6
Maulana Azad Medical College,New Delhi,Delhi,Government,1958,91.0,A++,69,111.0,2.3,88249.0,58444,True,76.0,13.69,50.18,224,2405.4,False,False,False,False,True,True,10.0,NEET UG,250,68,Low (<1L),North,2,6
King George Medical University,Lucknow,Uttar Pradesh,Government,1911,48.0,A+,109,496.0,0.5,27924.0,135226,True,87.6,9.69,52.7,350,1037.8,False,False,False,True,False,True,40.3,NEET UG,250,115,Low (<1L),North,2,5
Grant Medical College,Mumbai,Maharashtra,Government,1845,,A+,132,1084.0,0.2,59245.0,63728,True,82.6,9.89,49.77,202,1833.3,True,True,True,True,True,True,25.9,NEET UG,200,181,Low (<1L),West,6,5
Kasturba Medical College Manipal,Manipal,Karnataka,Private,1953,94.0,A++,19,104.0,2.4,706676.0,116413,True,68.2,4.05,17.94,572,1806.9,False,True,True,True,True,True,38.4,NEET UG,250,73,High (>5L),South,5,6
St Johns Medical College,Bangalore,Karnataka,Private,1963,,A+,38,144.0,1.0,436828.0,69318,True,73.5,10.78,51.62,445,951.3,False,True,True,False,False,False,39.6,NEET UG,150,63,Medium (1-5L),South,2,5
JIPMER Puducherry,Puducherry,Puducherry,Government,1823,,A++,154,654.0,0.3,89289.0,92324,True,71.2,14.24,69.71,63,452.5,False,True,True,True,False,True,59.8,NEET UG,200,203,Low (<1L),South,4,6
National Law School Bangalore,Bangalore,Karnataka,Government,1987,40.0,A++,40,189.0,0.6,257224.0,120349,True,95.1,23.52,139.01,477,584.2,True,True,True,True,True,True,7.2,CLAT,120,39,Medium (1-5L),South,6,6
NALSAR Hyderabad,Hyderabad,Telangana,Government,1998,,A++,93,90.0,1.1,98086.0,50221,True,82.0,8.17,23.47,485,903.0,False,True,False,False,False,False,20.3,CLAT,100,28,Low (<1L),South,1,6
National Law Institute University Bhopal,Bhopal,Madhya Pradesh,Government,1997,,A+,161,577.0,0.2,158477.0,80829,False,95.9,28.67,127.82,563,428.1,False,True,True,True,True,True,27.9,CLAT,100,29,Medium (1-5L),Central,5,5
West Bengal National University of Juridical Sciences,Kolkata,West Bengal,Government,1999,106.0,A+,99,858.0,0.1,75012.0,44021,False,68.1,5.07,19.7,480,840.2,False,False,True,True,True,True,57.5,CLAT,100,27,Low (<1L),East,4,5
National Law University Delhi,New Delhi,Delhi,Government,2008,,A+,166,489.0,0.2,148580.0,66739,True,96.4,21.04,60.99,588,453.9,False,True,True,True,True,True,54.2,AILET,120,18,Medium (1-5L),North,5,5
Gujarat National Law University,Gandhinagar,Gujarat,Government,2003,,A,194,816.0,0.1,182805.0,143984,True,94.7,8.37,35.35,579,1486.6,True,False,True,False,False,True,64.2,CLAT,100,23,Medium (1-5L),West,3,4
Rajiv Gandhi National University of Law,Patiala,Punjab,Government,2006,121.0,A,53,1104.0,0.1,43044.0,120133,False,57.3,5.23,20.23,383,2494.3,False,False,True,True,False,False,34.8,CLAT,80,20,Low (<1L),North,2,4
Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,Government,1961,61.0,A++,180,782.0,0.5,44843.0,69356,False,66.0,12.11,31.23,141,1694.5,False,True,True,True,True,True,13.2,CAT,400,65,Low (<1L),West,5,6
Indian Institute of Management Bangalore,Bangalore,Karnataka,Government,1973,,A++,152,288.0,1.6,41972.0,66483,True,82.3,13.09,35.59,221,917.7,False,True,True,False,True,True,15.4,CAT,450,53,Low (<1L),South,4,6
Indian Institute of Management Calcutta,Kolkata,West Bengal,Government,1961,149.0,A++,123,865.0,0.6,63929.0,120890,False,68.3,8.88,40.74,220,1219.2,False,False,True,True,False,True,38.5,CAT,480,65,Low (<1L),East,3,6
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,Government,1984,67.0,A++,140,989.0,0.5,88607.0,96248,False,80.0,9.09,38.37,201,211.3,False,False,True,True,True,False,4.1,CAT,450,42,Low (<1L),North,3,6
Indian Institute of Management Kozhikode,Kozhikode,Kerala,Government,1996,126.0,A++,154,983.0,0.4,86186.0,137909,True,87.8,10.42,53.65,253,2474.5,True,True,False,True,False,False,9.0,CAT,400,30,Low (<1L),South,3,6
Indian Institute of Management Indore,Indore,Madhya Pradesh,Government,1996,120.0,A++,30,503.0,1.1,97938.0,86120,True,68.8,6.39,20.6,389,1333.0,True,True,True,True,False,True,42.6,CAT,550,30,Low (<1L),Central,5,6
Faculty of Management Studies Delhi,New Delhi,Delhi,Government,1954,,A++,130,848.0,0.3,66472.0,94154,True,68.3,11.32,53.17,107,1585.9,True,True,True,True,True,True,61.8,CAT,220,72,Low (<1L),North,6,6
XLRI Jamshedpur,Jamshedpur,Jharkhand,Private,1949,2.0,A++,189,783.0,0.4,1094737.0,74270,True,89.9,12.61,69.15,79,119.6,True,False,True,False,False,False,44.6,XAT,300,77,High (>5L),East,2,6
SP Jain Institute of Management,Mumbai,Maharashtra,Private,1981,84.0,A++,28,596.0,1.5,297874.0,115798,True,64.7,4.66,22.49,435,1565.9,True,True,False,False,True,False,51.4,CAT/XAT,300,45,Medium (1-5L),West,3,6
Management Development Institute,Gurugram,Haryana,Private,1973,134.0,A++,41,289.0,1.2,642828.0,120968,False,58.6,4.57,17.55,350,922.1,True,True,True,False,False,False,22.3,CAT,350,53,High (>5L),North,3,6
Indian School of Business,Hyderabad,Telangana,Private,2001,6.0,A++,104,866.0,1.0,955595.0,41362,True,96.1,12.8,37.52,469,789.7,True,True,False,True,False,True,11.5,GMAT/GRE,900,25,High (>5L),South,4,6
NMIMS Mumbai,Mumbai,Maharashtra,Deemed,1981,24.0,A++,107,104.0,14.4,536440.0,61599,False,85.0,16.32,70.98,354,334.3,True,True,True,True,False,True,60.5,NMAT,1500,45,High (>5L),West,5,6
Christ University,Bangalore,Karnataka,Deemed,1969,60.0,A++,115,749.0,4.7,191430.0,97017,True,75.8,9.83,29.92,97,778.9,False,True,False,False,True,False,31.7,CUET,3500,57,Medium (1-5L),South,2,6
Symbiosis Centre for Management,Pune,Maharashtra,Deemed,1993,143.0,A+,57,610.0,1.3,235895.0,95065,True,76.7,6.9,36.16,410,321.7,True,False,False,True,False,False,55.1,SNAP,800,33,Medium (1-5L),West,2,5
Great Lakes Institute of Management,Chennai,Tamil Nadu,Private,2004,,A,73,316.0,1.3,397211.0,51873,True,46.0,3.65,10.44,551,11.4,False,False,True,False,False,False,60.4,CAT/XAT,400,22,Medium (1-5L),South,1,4
MICA Ahmedabad,Ahmedabad,Gujarat,Private,1991,38.0,A+,60,187.0,1.1,535476.0,65554,True,77.3,8.57,25.01,258,2011.8,True,True,True,True,True,True,68.7,MICAT,200,35,High (>5L),West,6,5
St Stephens College,New Delhi,Delhi,Private,1881,72.0,A++,74,128.0,9.4,773108.0,129677,True,76.5,5.2,29.97,584,869.3,False,True,False,True,False,False,59.1,CUET,1200,145,High (>5L),North,2,6
Lady Shri Ram College,New Delhi,Delhi,Private,1956,80.0,A++,132,842.0,1.8,297545.0,35754,True,79.9,11.18,48.29,116,1454.0,True,False,True,False,True,True,36.4,CUET,1500,70,Medium (1-5L),North,4,6
Loyola College Chennai,Chennai,Tamil Nadu,Autonomous,1925,98.0,A++,54,303.0,9.9,121291.0,60619,True,47.2,4.22,22.07,138,415.1,True,True,True,True,True,True,33.7,Own Entrance,3000,101,Medium (1-5L),South,6,6
Fergusson College,Pune,Maharashtra,Autonomous,1885,132.0,A+,130,908.0,2.8,62832.0,118759,True,54.0,7.92,24.62,599,1871.5,True,True,True,False,True,False,19.0,Own Entrance,2500,141,Low (<1L),West,4,5
Madras Christian College,Chennai,Tamil Nadu,Autonomous,1837,85.0,A+,46,759.0,2.6,66900.0,55919,False,72.1,5.66,16.7,73,2356.0,True,True,True,True,False,True,5.4,Own Entrance,2000,189,Low (<1L),South,5,5
St Xaviers College Mumbai,Mumbai,Maharashtra,Autonomous,1869,32.0,A++,179,488.0,6.1,194359.0,92787,True,46.8,4.68,13.95,568,626.6,False,False,True,True,True,False,69.6,Own Entrance,3000,157,Medium (1-5L),West,3,6
Hindu College Delhi,New Delhi,Delhi,Government,1899,147.0,A++,40,406.0,4.9,76824.0,99393,True,73.2,10.84,35.93,283,1643.9,False,False,False,False,True,True,20.1,CUET,2000,127,Low (<1L),North,2,6
Ramjas College Delhi,New Delhi,Delhi,Government,1917,,A+,153,1088.0,1.4,61095.0,104403,True,78.0,10.63,33.58,346,443.0,True,True,True,True,True,True,4.6,CUET,1500,109,Low (<1L),North,6,5
