name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Shiv Nadar University,Greater Noida,Uttar Pradesh,Private,2011,117,A,189,999,0.8,192875,131298,True,53.8,4.59,20.53,360,2161.3,True,True,True,True,True,True,44.7,SNUSAT,800
Ashoka University,Sonipat,Haryana,Private,2014,115,A,130,164,3.0,365849,80394,True,48.9,4.99,26.3,222,807.2,True,True,True,True,True,True,34.3,Ashoka Aptitude,500
OP Jindal Global University,Sonipat,Haryana,Private,2009,,A+,200,596,1.2,550905,38639,True,63.9,8.46,32.6,183,836.7,False,True,True,True,True,False,41.6,JSAT,700
Thapar Institute of Engineering,Patiala,Punjab,Private,1956,67,A+,102,518,2.9,643973,96648,True,64.8,6.9,21.6,527,484.1,True,False,False,False,False,False,70.0,JEE Main,1500
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,Private,1992,60,A++,171,989,3.5,658933,35726,False,66.1,9.41,31.35,321,1882.2,False,False,True,False,True,False,55.3,KIITEE,3500
Chandigarh University,Mohali,Punjab,private,2012,95,A+,46,1136,3.5,254714,114040,False,68.0,6.97,40.22,321,214.3,True,True,False,False,True,False,12.9,CUCET,4000
Chitkara University,Rajpura,Punjab,Private,2010,87,A+,88,158,12.7,303896,139992,False,74.3,6.68,20.11,513,1741.7,True,True,True,True,True,True,11.4,Chitkara UG,2000
Bennett University,Greater Noida,Uttar Pradesh,Private,2016,192,A,76,802,1.0,370205,105372,False,42.3,3.15,12.61,456,472.3,True,False,False,False,False,False,47.4,Own Test,800
Plaksha University,Mohali,Punjab,Private,2021,299,,49,760,0.3,135420,75193,True,42.2,5.46,15.63,75,884.0,True,True,True,False,True,True,25.0,Own Test,200
Azim Premji University,Bangalore,Karnataka,Private,2010,212,A,84,759,0.5,200193,67501,False,45.7,6.01,33.24,157,1999.4,True,False,True,True,True,True,31.7,Own Test,400
Symbiosis International University,Pune,Maharashtra,Deemed,2002,28,A++,129,799,3.1,,88447,False,87.1,13.97,68.65,73,1818.4,True,True,True,False,False,False,64.0,SET,2500
RVCE Bangalore,Bangalore,Karnataka,Autonomous,1963,16,A++,161,237,7.6,417243,50111,True,84.9,17.39,66.12,170,1326.0,True,False,True,False,False,False,29.1,KCET,1800
BMS College of Engineering,Bangalore,Karnataka,Autonomous,1946,67,A+,37,991,1.6,178765,56237,True,48.7,8.12,33.15,357,1671.3,True,True,True,False,True,False,50.2,KCET,1600
PSG College of Technology,Coimbatore,Tamil Nadu,Autonomous,1951,,A++,149,1060,1.3,84018,110209,True,71.5,3.39,13.2,450,1924.1,False,True,True,True,False,True,58.0,TNEA,1400
Dhirubhai Ambani Institute,Gandhinagar,Gujarat,Private,2001,132,A,87,1142,0.5,259448,51581,True,39.9,6.71,22.07,110,630.3,False,True,True,True,False,True,45.2,JEE Main,600
FLAME University,Pune,Maharashtra,Private,2015,275,A,142,142,3.5,238755,115344,True,41.3,5.07,23.64,588,727.7,True,True,True,True,True,True,67.1,FLAME Entrance,500
Birla Institute of Technology Mesra,Ranchi,Jharkhand,Deemed,1955,140,A+,130,627,1.6,344269,97499,True,65.7,5.57,23.02,283,356.5,True,True,True,True,True,True,5.4,BIT MCA,1000
Jamia Millia Islamia,New Delhi,Delhi,Government,1920,123,A++,152,665,3.0,51877,94866,True,78.7,13.43,65.19,38,2118.7,True,False,True,True,True,True,31.3,JMI Entrance,2000
Aligarh Muslim University,Aligarh,Uttar Pradesh,Government,1875,,A++,51,828,3.6,31864,42672,False,74.1,12.95,47.74,233,1508.1,False,False,True,False,False,False,29.3,AMU Entrance,3000
Banaras Hindu University,Varanasi,Uttar Pradesh,Government,1916,77,A++,151,1123,4.5,95805,126904,True,84.4,10.94,46.78,531,1773.3,True,True,True,True,False,True,22.4,UET/PET,5000
Jawaharlal Nehru University,New Delhi,Delhi,Government,1969,56,A++,63,305,8.2,34369,137696,True,80.7,5.32,30.96,49,1105.4,True,False,True,True,True,True,30.5,JNUEE,2500
University of Delhi,New Delhi,Delhi,Government,1922,66,A++,86,584,13.7,99319,135336,True,80.9,11.1,35.22,335,566.0,False,False,True,True,False,False,68.2,CUET,8000
University of Hyderabad,Hyderabad,Telangana,Government,1974,64,A++,182,985,1.5,34198,68070,True,66.0,14.55,40.4,292,1869.6,True,True,True,True,True,True,16.6,CUET,1500
Jadavpur University,Kolkata,West Bengal,Government,1955,4,A++,181,1057,1.9,293557,50701,False,90.7,33.51,186.8,234,1891.0,True,False,True,False,True,True,21.5,WBJEE,2000
Anna University,Chennai,Tamil Nadu,Government,1978,42,A++,91,98,40.8,295526,128173,True,,33.3,185.43,139,2321.5,True,True,True,True,True,True,24.8,TNEA,4000
Savitribai Phule Pune University,Pune,Maharashtra,Government,1949,,A++,37,751,4.7,95079,142216,True,79.7,9.05,36.17,440,1674.8,True,False,True,True,True,False,14.6,Own Entrance,3500
Presidency University Kolkata,Kolkata,West Bengal,Government,1817,222,A,178,320,1.6,49962,95866,True,67.7,7.44,38.65,332,922.0,False,False,False,False,False,True,17.0,CUET,500
University of Calcutta,Kolkata,West Bengal,Government,1857,129,A,66,1115,3.6,28709,40237,True,67.5,3.56,19.23,579,378.9,True,True,False,False,True,True,24.3,CUET,4000
University of Mumbai,Mumbai,Maharashtra,Government,1857,,A++,123,172,29.1,66897,63352,False,83.8,12.46,56.37,382,1752.5,True,False,True,True,False,True,38.8,Own Entrance,5000
Cochin University of Science and Technology,Kochi,Kerala,Government,1971,126,A+,115,1180,1.0,85687,47431,False,80.0,8.48,26.5,571,322.7,False,False,False,True,False,False,68.6,CUSAT CAT,1200
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,Government,1956,116,A++,76,112,1.8,29790,34222,True,83.6,9.19,47.62,241,172.9,True,False,False,False,True,False,42.4,NEET UG,200
Christian Medical College Vellore,Vellore,Tamil Nadu,Private,1900,,A++,51,698,0.2,534394,105690,True,71.1,9.38,33.98,563,556.5,True,True,True,True,True,True,22.4,NEET UG,150
Armed Forces Medical College,Pune,Maharashtra,Government,1948,112,A++,157,933,0.2,33920,135614,True,75.6,,,572,339.6,True,True,False,False,True,False,18.5,NEET UG,150
Maulana Azad Medical College,New Delhi,Delhi,Government,1958,91,A++,69,111,2.3,88249,58444,True,76.0,13.69,50.18,224,2405.4,False,False,False,False,True,True,10.0,NEET UG,250
King George Medical University,Lucknow,Uttar Pradesh,Government,1911,48,A+,109,496,0.5,27924,135226,True,87.6,9.69,52.7,350,1037.8,False,False,False,True,False,True,40.3,NEET UG,250
Grant Medical College,Mumbai,Maharashtra,Government,1845,,A+,132,1084,0.2,59245,63728,True,82.6,9.89,49.77,202,1833.3,True,True,True,True,True,True,25.9,NEET UG,200
Kasturba Medical College Manipal,Manipal,Karnataka,Private,1953,94,A++,19,104,2.4,706676,116413,True,68.2,4.05,17.94,572,1806.9,False,True,True,True,True,True,38.4,NEET UG,250
St Johns Medical College,Bangalore,Karnataka,Private,1963,,A+,38,144,1.0,436828,69318,True,73.5,10.78,51.62,445,951.3,False,True,True,False,False,False,39.6,NEET UG,150
JIPMER Puducherry,Puducherry,Puducherry,Government,1823,,A++,154,654,0.3,89289,92324,True,71.2,14.24,69.71,63,452.5,False,True,True,True,False,True,59.8,NEET UG,200
National Law School Bangalore,Bangalore,Karnataka,Government,1987,40,A++,40,189,0.6,257224,120349,True,95.1,23.52,139.01,477,584.2,True,True,True,True,True,True,7.2,CLAT,120
NALSAR Hyderabad,Hyderabad,Telangana,Govt,1998,,A++,93,90,1.1,98086,50221,True,82.0,8.17,23.47,485,903.0,False,True,False,False,False,False,20.3,CLAT,100
National Law Institute University Bhopal,Bhopal,Madhya Pradesh,Government,1997,,A+,161,577,0.2,158477,80829,False,95.9,28.67,127.82,563,428.1,False,True,True,True,True,True,27.9,CLAT,100
West Bengal National University of Juridical Sciences,Kolkata,West Bengal,Government,1999,106,A+,99,858,0.1,75012,44021,False,68.1,5.07,19.7,480,840.2,False,False,True,True,True,True,57.5,CLAT,100
National Law University Delhi,New Delhi,Delhi,Government,2008,,A+,166,489,0.2,148580,66739,True,96.4,21.04,60.99,588,453.9,False,True,True,True,True,True,54.2,AILET,120
Gujarat National Law University,Gandhinagar,Gujarat,Government,2003,,A,194,816,0.1,182805,143984,True,94.7,,,579,1486.6,True,False,True,False,False,True,64.2,CLAT,100
Rajiv Gandhi National University of Law,Patiala,Punjab,Government,2006,121,A,53,1104,0.1,43044,120133,False,57.3,5.23,20.23,383,2494.3,False,False,True,True,False,False,34.8,CLAT,80
Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,Government,1961,61,A++,180,782,0.5,,69356,False,66.0,12.11,31.23,141,1694.5,False,True,True,True,True,True,13.2,CAT,400
Indian Institute of Management Bangalore,Bangalore,Karnataka,Government,1973,,A++,152,288,1.6,41972,66483,True,82.3,13.09,35.59,221,917.7,False,True,True,False,True,True,15.4,CAT,450
Indian Institute of Management Calcutta,Kolkata,West Bengal,Government,1961,149,A++,123,865,0.6,63929,120890,False,68.3,8.88,40.74,220,1219.2,False,False,True,True,False,True,38.5,CAT,480
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,Government,1984,67,A++,140,989,0.5,88607,96248,False,80.0,9.09,38.37,201,211.3,False,False,True,True,True,False,4.1,CAT,450
Indian Institute of Management Kozhikode,Kozhikode,Kerala,Government,1996,126,A++,154,983,0.4,86186,137909,True,87.8,10.42,53.65,253,2474.5,True,True,False,True,False,False,9.0,CAT,400
Indian Institute of Management Indore,Indore,Madhya Pradesh,Government,1996,120,A++,30,503,1.1,97938,86120,True,68.8,6.39,20.6,389,1333.0,True,True,True,True,False,True,42.6,CAT,550
Faculty of Management Studies Delhi,New Delhi,Delhi,Government,1954,,A++,130,848,0.3,66472,94154,True,68.3,11.32,53.17,107,1585.9,True,True,True,True,True,True,61.8,CAT,220
XLRI Jamshedpur,Jamshedpur,Jharkhand,Private,1949,2,A++,189,783,0.4,1094737,74270,True,89.9,12.61,69.15,79,119.6,True,False,True,False,False,False,44.6,XAT,300
SP Jain Institute of Management,Mumbai,Maharashtra,Private,1981,84,A++,28,,,297874,115798,True,64.7,4.66,22.49,435,1565.9,True,True,False,False,True,False,51.4,CAT/XAT,300
Management Development Institute,Gurugram,Haryana,Private,1973,134,A++,41,289,1.2,642828,120968,False,58.6,4.57,17.55,350,922.1,True,True,True,False,False,False,22.3,CAT,350
Indian School of Business,Hyderabad,Telangana,Private,2001,6,A++,104,866,1.0,955595,41362,True,96.1,12.8,37.52,469,789.7,True,True,False,True,False,True,11.5,GMAT/GRE,900
NMIMS Mumbai,Mumbai,Maharashtra,Deemed,1981,24,A++,107,104,14.4,536440,61599,False,85.0,16.32,70.98,354,334.3,True,True,True,True,False,True,60.5,NMAT,1500
Christ University,Bangalore,Karnataka,Deemed,1969,60,A++,115,749,4.7,191430,97017,True,75.8,9.83,29.92,97,778.9,False,True,False,False,True,False,31.7,CUET,3500
Symbiosis Centre for Management,Pune,Maharashtra,Deemed,1993,143,A+,57,610,1.3,235895,95065,True,76.7,6.9,36.16,410,321.7,True,False,False,True,False,False,55.1,SNAP,800
Great Lakes Institute of Management,Chennai,Tamil Nadu,Private,2004,,A,73,316,1.3,397211,51873,True,46.0,3.65,10.44,551,11.4,False,False,True,False,False,False,60.4,CAT/XAT,400
MICA Ahmedabad,Ahmedabad,Gujarat,Private,1991,38,A+,60,187,1.1,535476,65554,True,77.3,8.57,25.01,258,2011.8,True,True,True,True,True,True,68.7,MICAT,200
St Stephens College,New Delhi,Delhi,Private,1881,72,A++,74,128,9.4,773108,129677,True,76.5,5.2,29.97,584,869.3,False,True,False,True,False,False,59.1,CUET,1200
Lady Shri Ram College,New Delhi,Delhi,Private,1956,80,A++,132,842,1.8,297545,35754,True,79.9,11.18,48.29,116,1454.0,True,False,True,False,True,True,36.4,CUET,1500
Loyola College Chennai,Chennai,Tamil Nadu,Autonomous,1925,98,A++,54,303,9.9,121291,60619,True,47.2,4.22,22.07,138,415.1,True,True,True,True,True,True,33.7,Own Entrance,3000
Fergusson College,Pune,Maharashtra,Autonomous,1885,132,A+,130,908,2.8,62832,118759,True,54.0,7.92,24.62,599,1871.5,True,True,True,False,True,False,19.0,Own Entrance,2500
Madras Christian College,Chennai,Tamil Nadu,Autonomous,1837,85,A+,46,759,2.6,66900,55919,False,72.1,5.66,16.7,73,2356.0,True,True,True,True,False,True,5.4,Own Entrance,2000
St Xaviers College Mumbai,Mumbai,Maharashtra,Autonomous,1869,32,A++,179,488,6.1,194359,92787,True,46.8,4.68,13.95,568,626.6,False,False,True,True,True,False,69.6,Own Entrance,3000
Hindu College Delhi,New Delhi,Delhi,Govt,1899,147,A++,40,406,4.9,76824,99393,True,73.2,10.84,35.93,283,1643.9,False,False,False,False,True,True,20.1,CUET,2000
Ramjas College Delhi,New Delhi,Delhi,Government,1917,,A+,153,1088,1.4,61095,104403,True,78.0,10.63,33.58,346,443.0,True,True,True,True,True,True,4.6,CUET,1500
Hansraj College Delhi,New Delhi,Delhi,Government,1948,111,A+,97,698,2.1,63967,122345,True,86.7,8.96,25.57,169,2439.8,False,True,True,True,True,True,51.8,CUET,1500
Miranda House Delhi,New Delhi,Delhi,Government,1948,60,A++,178,532,2.3,89381,34244,True,69.2,8.18,43.61,136,2342.0,True,True,True,False,False,True,11.6,CUET,1200
National Institute of Design Ahmedabad,Ahmedabad,Gujarat,Government,1961,58,A++,40,848,0.2,36802,145939,True,74.5,13.82,51.54,520,1972.9,True,True,False,True,False,False,41.3,NID DAT,200
National Institute of Fashion Technology Delhi,New Delhi,New Delhi,Government,1986,,A+,125,143,2.8,27203,74295,True,78.7,11.14,46.67,198,1520.3,True,True,True,True,True,True,31.5,NIFT,400
School of Planning and Architecture Delhi,New Delhi,Delhi,Government,1941,92,A+,35,677,0.3,,108671,False,76.0,5.97,19.25,514,2110.2,False,True,True,False,False,True,23.0,NATA/JEE,200
IIT Bombay IDC School of Design,Mumbai,Maharashtra,Government,1969,27,A++,165,927,0.1,232575,117486,True,86.4,27.37,145.84,262,1386.2,True,True,False,True,True,True,59.2,CEED,100
Srishti Manipal Institute of Art,Bangalore,Karnataka,Private,1996,170,A,96,608,0.8,328271,56465,True,64.9,5.32,28.83,98,222.1,True,True,True,True,True,True,39.8,SUAT,500
College of Engineering Pune,Pune,Maharashtra,Government,1854,80,A+,118,644,1.9,65206,115824,True,76.2,11.09,29.18,177,1547.5,True,False,True,True,True,False,48.3,MHT CET,1200
PEC Chandigarh,Chandigarh,Chandigarh,Government,1921,127,A+,63,262,3.1,73079,131453,True,84.0,7.69,30.44,482,532.4,True,True,True,True,True,True,58.0,JEE Main,800
Netaji Subhas University of Technology,New Delhi,Delhi,Govt,1983,141,A+,189,333,3.0,41097,65910,True,73.5,9.64,37.49,61,608.6,True,True,True,True,True,True,35.2,JEE Main,1000
Delhi Technological University,New Delhi,Delhi,Government,1941,46,A++,168,434,2.8,254551,130607,False,,22.9,67.85,38,563.3,False,False,True,True,True,False,43.4,JEE Main,1200
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,Deemed,1998,144,A++,85,768,0.8,461307,109829,True,57.9,7.95,33.28,362,2154.4,True,True,True,False,True,False,19.8,JEE Main,600
Institute of Chemical Technology Mumbai,Mumbai,Maharashtra,Deemed,1933,138,A++,178,1174,0.4,521232,104978,True,72.8,5.73,28.63,517,2266.8,False,True,True,True,False,False,47.7,MHT CET,500
Birla Vishvakarma Mahavidyalaya,Anand,Gujarat,Autonomous,1948,90,A+,99,941,0.9,221556,41704,True,51.7,4.34,24.09,410,655.1,False,False,False,False,False,True,22.0,ACPC,800
VJTI Mumbai,Mumbai,Maharashtra,Government,1887,,A+,51,1017,0.8,34762,48004,True,87.8,8.43,50.2,353,2156.7,True,True,True,False,False,True,14.3,MHT CET,800
Sardar Vallabhbhai National Institute of Technology Surat,Surat,Gujarat,Government,1961,61,A+,97,108,8.3,77573,80242,True,65.1,10.34,52.29,573,480.5,False,True,True,True,False,True,48.0,JEE Main,900
Malaviya National Institute of Technology Jaipur,Jaipur,Rajasthan,Government,1963,,A+,118,417,2.0,32536,74922,True,87.9,9.9,50.74,49,574.9,False,True,True,False,False,True,51.4,JEE Main,850
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,Government,1963,277,A,112,989,0.8,12085,115664,True,65.1,3.24,9.41,156,1370.5,False,True,False,True,False,False,34.3,JEE Main,750
National Institute of Technology Meghalaya,Shillong,Meghalaya,Government,2010,240,B++,148,618,0.5,23527,44943,True,63.5,5.49,25.43,236,898.0,True,False,False,True,True,True,29.9,JEE Main,300
Indian Institute of Engineering Science and Technology,Howrah,West Bengal,Government,1856,42,A+,89,160,6.2,53800,64619,True,75.7,6.0,18.67,398,2005.0,True,False,True,False,False,False,23.3,WBJEE,1000
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,Deemed,2003,44,A++,191,869,3.5,245876,44920,False,61.2,9.76,33.69,519,2000.7,True,True,True,False,False,False,46.1,AEEE,3000
Hindustan Institute of Technology,Chennai,Tamil Nadu,Deemed,1985,234,A,31,174,10.3,,93318,True,75.8,4.23,16.66,297,1639.2,True,True,True,True,True,True,2.8,HITSEEE,1800
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,Deemed,1987,88,A+,72,1118,2.2,,94441,False,59.0,5.65,19.63,593,1610.1,True,True,False,True,True,True,29.4,Own Entrance,2500
Koneru Lakshmaiah Education Foundation,Guntur,Andhra Pradesh,Deemed,1980,106,A++,28,824,2.4,416515,103706,True,55.8,7.86,45.79,258,2111.6,True,True,True,True,True,True,24.6,KLEEE,2000
SR University,Warangal,Telangana,Private,2018,293,A,70,884,0.7,,63330,False,53.3,3.34,19.22,498,2062.3,True,True,False,True,False,True,15.0,Own Entrance,600
Sharda University,Greater Noida,Uttar Pradesh,Private,2009,147,A+,183,873,2.9,385810,120677,True,70.6,9.84,29.02,359,1262.8,False,False,True,True,True,False,28.2,Own Entrance,2500
GD Goenka University,Gurugram,Haryana,Private,2013,129,A,196,351,2.3,,111810,True,56.4,5.59,32.0,212,1262.2,True,False,False,True,True,True,49.2,Own Entrance,800
